"Status","Name","Daily Limit","Opportunities","Target Rate","Bids","Bid Rate","Spend","CPC","Impressions","Clicks","Leads","Calls","Contacted","Contacted CVR","Quoted","Quoted CVR","Quoted CPA","Bound","Bound CVR","Bound CPA"
"Active","Auto","$140.00","199,877","7.88%","61,028","30.53%","$6,039.08","$5.60","2,082","1,077","721","66","204","18.942%","95","8.821%","63.56926315789474","12","1.114%","503.25666666666666"
"Active","Auto (multicar)","$240.00","186,016","7.52%","11,856","6.37%","$4,603.69","$9.33","1,483","493","353","32","59","11.968%","34","6.897%","135.4026470588235","8","1.623%","575.46125"
