"Campaign","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Policy","Policy CVR","Policy CPA","Policy Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"Home","10,532","2,448 (23.24%)","807","525","34","32.96%","$8,297.47","$10.28","$9.07","7.90","7.66%","6","0.743%","$1,382.91","$25,799.95","31","3.841%","$267.66","$0.00"
"Total","10,532","2,448 (23.24%)","807","525","34","32.96%","$8,297.47","$10.28","$9.07","7.90","7.66%","6","0.743%","$1,382.91","$25,799.95","31","3.841%","$267.66","$0.00"
